|id|generator_name|country|ic_kw|technology|subsidy|accreditation|commissioned|rlf|alf|latest_data|latest_mwh_p_a|latest_rocs_p_a
8439|R00039RZEN|Ashworth - D,Y agent is TL|England|6|On-shore wind|FiT|2006-09-01|2006-05-01|10.9%|16.3%|2010-03|9.0|
8440|R00210NZNI|Kelly Proven|NI|6|On-shore wind|RO|2008-10-01|2008-09-30|15.1%|17.1%|2014-03|9.0|
8441|R00249NGNI|Inverbeg House, Shaftesbury Road, Bangor|NI|14|Photovoltaic|RO|2010-06-22|2010-03-12|6.7%|6.7%|2014-03|8.0|
8442|R00712NGNI|Hamptons Solar PV|NI|20|Photovoltaic|RO|2012-11-26|2012-10-05|4.8%|6.9%|2014-03|12.0|
8443|R00058SWSC|sporsnis|Scotland|10|Photovoltaic|FiT|2009-05-06|2006-09-27|||2010-03|8.0|16.0
8444|R02319NGNI|St Patrick's Church Dungiven|NI|17|Photovoltaic|RO|2013-09-20|2013-08-13|||2014-03|8.0|
8445|R00148RYEN|Green Meadows|England|4|Hydro|FiT|2009-10-23|2009-10-10|||2010-03|8.0|
8446|R00419RZEN|The Hole Farm|England|15|On-shore wind|RO|||||2010-03|8.0|16.0
8447|R02089NGNI|Alexander Martin Solar Hub|NI|17|Photovoltaic|RO|2013-08-20|2013-06-24|||2014-03|8.0|
8448|G03882PVEN|Sturge Solar PV|England|2|Photovoltaic|FiT|2010-03-25|2006-07-12|||2011-03|8.0|
8449|R02827NGNI|Gareth Nelson PV|NI|20|Photovoltaic|RO|2013-11-27|2013-07-04|||2014-03|8.0|
8450|G06433PVEN|Aldi Withernsea|England|50|Photovoltaic|FiT|2015-06-16|2015-06-15|||2015-08|8.0|
8451|R00015SZSC|Kingsview - D, Y. Agent is SSE|Scotland|6|On-shore wind|RO|2006-11-01|2006-08-01|||2007-03|8.0|8.0
8452|R03568RWEN|10 Hassacar Close|England|10|Photovoltaic|FiT|2010-03-22|2008-08-03|||2010-03|8.0|16.0
8453|R00055RWEN|Core Building - D, Y, agent is TL|England|30|Photovoltaic|RO|2006-08-01|2005-07-01|||2007-03|8.0|8.0
8454|R00240RZWA|Windycotts|Wales|6|On-shore wind|RO|2008-05-28|2006-12-13|||2010-03|8.0|16.0
8455|R02113NGNI|Spamount Mill|NI|22|Photovoltaic|RO|2013-08-27|2013-07-29|||2014-03|8.0|
8456|R02489NGNI|C.C.001|NI|50|Photovoltaic|RO|2013-10-15|2013-07-19|||2014-03|8.0|
8457|R00007RYEN|DYNYN Hydro - D, Y|England|2|Hydro|RO|2004-04-01|1987-10-01|40.0%|40.0%|2006-03|7.0|7.0
8458|G01533PVSC|Mather johnstone and clark|Scotland|100|Photovoltaic|FiT|2014-11-26|2014-11-04|||2015-02|8.0|
8459|R00191RREN|Malton Microturbine CHP|England|105|Sewage Gas|RO|2009-03-17|2009-03-13|||2009-10|8.0|8.0
8460|G08009PVEN|Hill Brush|England|245|Photovoltaic|FiT|2017-10-06|2017-10-06|||2018-03|8.0|
8461|G06913PVEN|Park Farm CLS|England|82|Photovoltaic|FiT|2015-12-09|2015-10-29|||2016-05|8.0|
8462|G01467HYEN|Cragside Archimedean Screw|England|10|Hydro|FiT|2014-09-20|2014-09-20|||2015-08|16.0|
8463|G06554PVEN|Aldi Howdon|England|50|Photovoltaic|FiT|2015-07-15|2015-07-15|||2015-08|8.0|
8464|G07986PVEN|Gloucestershire Resource Centre|England|45|Photovoltaic|FiT|2017-11-07|2011-12-02|||2018-06|23.0|
8465|G06552PVEN|Aldi Ellison Road|England|50|Photovoltaic|FiT|2015-07-15|2015-07-14|||2015-08|8.0|
8466|R00431NZNI|Leyburn Scirocco|NI|6|On-shore wind|RO|2012-06-20|2012-05-14|15.5%|19.0%|2014-03|10.0|
8467|G01374HYEN|Undergrowth Housing Co-op Offgrid|England|2|Hydro|RO|||||2010-03|8.0|
8468|R00057RZEN|Reedshaw Farm - Y, agent is TL|England|6|On-shore wind|FiT|2006-12-01|2006-08-01|14.8%|14.6%|2010-03|8.0|
8469|R00298NZNI|Delaney/Batt WD|NI|6|On-shore wind|RO|2009-06-22|2008-08-02|15.4%|22.9%|2014-03|12.0|
8470|R00212SZSC|upper Cornquoy Turbine|Scotland|6|On-shore wind|FiT|2009-10-29|2009-06-09|||2010-03|8.0|
8471|R00217RZEN|Woodland Hall - Y (15/01/2008)|England|15|On-shore wind|FiT|2008-01-01|2005-07-01|7.6%|9.1%|2014-04|12.0|
8472|R00153SZSC|Marko's Yard - Y, agent is TL|Scotland|6|On-shore wind|RO|2006-02-01|2005-05-01|9.9%|9.7%|2010-03|5.0|
8473|G01351HYEN|Marsden Powerhouse|England|6|Hydro|FiT|2009-08-27|2009-08-27|||2010-03|8.0|
8474|R00322NZNI|Gibney-Proven|NI|6|On-shore wind|RO|2009-11-06|2007-07-01|11.3%|15.2%|2013-03|8.0|
8475|R00366NZNI|Snappers Corbet Westwind 10|NI|10|On-shore wind|RO|2010-08-09|2010-07-16|8.2%|9.1%|2014-03|8.0|
8476|R00462RZEN|Summit House Farm|England|6|On-shore wind|FiT|2009-04-14|2008-12-19|||2010-03|8.0|
8477|R01657RWEN|Liverton COurt|England|12|Photovoltaic|FiT|2009-04-14|2008-10-31|||2010-03|8.0|
8478|R01656RWEN|Pevensey Court|England|12|Photovoltaic|FiT|2009-04-14|2008-10-31|||2010-03|8.0|
8479|R00132SZSC|Barnacarry|Scotland|7|On-shore wind|FiT|2008-11-18|2008-11-11|12.8%|16.3%|2010-03|10.0|
8480|R00276NGNI|Sloan Court|NI|15|Photovoltaic|RO|2010-09-29|2010-07-30|6.8%|6.8%|2013-03|9.0|
8481|R00085RZEN|The Leventhorpe School Wind Turbine - Y|England|12|On-shore wind|RO|2006-11-01|2006-08-01|7.6%|9.1%|2010-03|10.0|19.0
