year	month	pds_energy_available	pds_transmission_distribution_and_other_losses1	pds_setc_england_and_wales	pds_setc_scotland	pds_setc_northern_ireland	pds_setc_total	pds_setc_industrial	pds_setc_domestic	pds_setc_other	og_electricity_available	og_losses_and_statistical_differences	og_consumption_of_electricity	aes_electricity_available	aes_losses_and_statistical_differences	aes_consumption_of_electricity
2013	July	25,02 	1,79 	20,52 	2,11 	0,60 	23,23 	7,84 	7,29 	8,09 	1,39 	0,01 	1,38 	26,41 	1,80 	24,61 
2013	August 	24,53 	1,53 	20,27 	2,13 	0,60 	23,00 	7,60 	7,42 	7,99 	1,37 	0,01 	1,36 	25,91 	1,54 	24,37 
2013	September	25,28 	1,89 	20,44 	2,35 	0,61 	23,39 	7,71 	7,75 	7,92 	1,42 	0,01 	1,42 	26,71 	1,90 	24,80 
2013	October	27,52 	1,95 	22,66 	2,26 	0,65 	25,57 	7,87 	8,91 	8,79 	1,42 	0,07 	1,36 	28,95 	2,02 	26,93 
2013	November	29,46 	2,40 	23,85 	2,55 	0,66 	27,06 	7,85 	10,46 	8,74 	1,52 	0,07 	1,45 	30,98 	2,47 	28,51 
2013	December	30,04 	2,25 	24,50 	2,61 	0,68 	27,79 	7,76 	11,45 	8,58 	1,57 	0,07 	1,50 	31,61 	2,32 	29,29 
2014	January	31,14 	3,03 	24,78 	2,64 	0,69 	28,11 	8,09 	11,42 	8,60 	1,78 	0,00 	1,77 	32,92 	3,03 	29,89 
2014	February	27,82 	2,42 	22,29 	2,49 	0,61 	25,40 	7,48 	10,06 	7,86 	1,58 	0,00 	1,58 	29,40 	2,42 	26,98 
2014	March	28,82 	2,50 	23,19 	2,60 	0,53 	26,32 	7,56 	10,10 	8,65 	1,66 	0,00 	1,65 	30,47 	2,50 	27,97 
2014	April	25,51 	2,34 	20,42 	2,20 	0,54 	23,17 	7,02 	8,41 	7,74 	1,64 	0,03 	1,61 	27,15 	2,37 	24,78 
2014	May 	25,03 	1,95 	20,46 	2,07 	0,55 	23,09 	7,25 	8,11 	7,73 	1,61 	0,03 	1,58 	26,64 	1,97 	24,67 
2014	June	23,47 	1,58 	19,41 	1,95 	0,54 	21,89 	7,15 	7,30 	7,44 	1,51 	0,02 	1,49 	24,99 	1,60 	23,38 
2014	July	24,16 	1,64 	20,06 	1,95 	0,51 	22,52 	7,58 	7,23 	7,71 	1,61 	0,01 	1,60 	25,77 	1,64 	24,13 
2014	August	23,53 	1,51 	19,58 	1,93 	0,52 	22,02 	7,19 	7,36 	7,47 	1,57 	0,01 	1,56 	25,10 	1,51 	23,58 
2014	September	24,48 	2,09 	19,89 	1,96 	0,54 	22,39 	7,48 	7,44 	7,48 	1,66 	0,01 	1,65 	26,14 	2,10 	24,04 
2014	October	26,61 	2,25 	21,55 	2,23 	0,58 	24,36 	7,52 	8,73 	8,11 	1,60 	0,01 	1,59 	28,21 	2,25 	25,95 
2014	November	27,99 	2,95 	22,17 	2,28 	0,59 	25,04 	7,28 	9,66 	8,10 	1,66 	0,01 	1,65 	29,65 	2,96 	26,70 
2014	December	30,03 	3,19 	23,66 	2,55 	0,62 	26,84 	6,89 	11,35 	8,60 	1,79 	0,01 	1,79 	31,83 	3,20 	28,62 
2015	January	31,55 	3,68 	24,51 	2,65 	0,71 	27,87 	7,68 	11,40 	8,79 	1,91 	-0,09 	2,00 	33,46 	3,59 	29,87 
2015	February	28,71 	3,16 	22,52 	2,39 	0,64 	25,55 	7,84 	9,92 	7,78 	1,74 	-0,08 	1,82 	30,44 	3,08 	27,36 
2015	March	29,29 	2,78 	23,33 	2,51 	0,66 	26,51 	8,11 	10,04 	8,37 	1,76 	-0,08 	1,84 	31,05 	2,70 	28,35 
2015	April	25,39 	2,04 	20,60 	2,16 	0,59 	23,35 	7,35 	8,49 	7,51 	1,86 	0,04 	1,82 	27,25 	2,08 	25,17 
2015	May	24,91 	1,95 	20,23 	2,14 	0,59 	22,96 	7,30 	8,08 	7,57 	1,83 	0,04 	1,79 	26,74 	1,99 	24,74 
2015	June	23,59 	1,84 	19,19 	1,99 	0,57 	21,75 	7,26 	7,15 	7,35 	1,72 	0,03 	1,69 	25,31 	1,88 	23,44 
2015	July	24,07 	1,38 	20,19 	1,94 	0,56 	22,69 	7,70 	7,10 	7,88 	1,77 	-0,02 	1,79 	25,83 	1,35 	24,48 
2015	August	23,75 	1,97 	19,34 	1,87 	0,56 	21,77 	7,07 	7,18 	7,52 	1,75 	-0,02 	1,77 	25,49 	1,95 	23,55 
2015	September	24,46 	2,05 	19,84 	1,97 	0,59 	22,40 	7,26 	7,51 	7,63 	1,80 	-0,02 	1,83 	26,26 	2,03 	24,23 
2015	October	26,90 	2,83 	21,29 	2,15 	0,64 	24,07 	7,17 	8,97 	7,93 	1,58 	0,08 	1,50 	28,47 	2,90 	25,57 
2015	November	27,92 	2,67 	22,29 	2,30 	0,66 	25,25 	7,12 	9,83 	8,30 	1,64 	0,08 	1,56 	29,56 	2,75 	26,82 
2015	December	28,15 	2,32 	22,72 	2,45 	0,67 	25,83 	6,36 	10,95 	8,52 	1,64 	0,08 	1,56 	29,79 	2,40 	27,40 
2016	January	30,47 	3,34 	23,99 	2,47 	0,66 	27,13 	7,15 	11,22 	8,75 	1,94 	0,11 	1,83 	32,41 	3,45 	28,96 
2016	February	28,42 	2,84 	22,60 	2,33 	0,65 	25,58 	7,05 	10,20 	8,33 	1,79 	0,10 	1,69 	30,21 	2,94 	27,27 
2016	March	28,79 	2,61 	23,21 	2,31 	0,65 	26,18 	7,28 	10,27 	8,62 	1,80 	0,10 	1,70 	30,59 	2,71 	27,88 
2016	April	26,10 	2,74 	20,67 	2,10 	0,60 	23,37 	7,07 	8,65 	7,64 	2,05 	0,23 	1,82 	28,15 	2,96 	25,19 
2016	May	23,97 	1,76 	19,63 	2,00 	0,58 	22,21 	6,83 	7,90 	7,48 	1,86 	0,21 	1,65 	25,83 	1,97 	23,86 
2016	June	22,96 	1,52 	19,05 	1,84 	0,56 	21,44 	7,04 	6,98 	7,42 	1,80 	0,20 	1,60 	24,76 	1,72 	23,04 
2016	July	23,25 	1,50 	19,37 	1,83 	0,56 	21,75 	7,08 	7,06 	7,61 	1,96 	0,19 	1,78 	25,21 	1,68 	23,53 
2016	August	23,18 	1,56 	19,18 	1,87 	0,57 	21,61 	6,99 	7,15 	7,47 	1,95 	0,19 	1,77 	25,13 	1,75 	23,38 
2016	September	23,90 	2,03 	19,39 	1,88 	0,60 	21,87 	7,16 	7,15 	7,56 	2,08 	0,20 	1,88 	25,97 	2,23 	23,75 
2016	October	25,96 	1,69 	21,50 	2,13 	0,64 	24,27 	7,48 	8,76 	8,04 	1,77 	0,17 	1,60 	27,72 	1,85 	25,87 
2016	November	28,79 	2,58 	23,13 	2,39 	0,69 	26,21 	7,53 	10,21 	8,47 	1,95 	0,06 	1,89 	30,74 	2,64 	28,11 
2016	December	29,05 	2,54 	23,38 	2,46 	0,67 	26,51 	7,09 	11,06 	8,36 	1,98 	0,06 	1,92 	31,03 	2,60 	28,43 
2017	January	31,16 	3,68 	24,26 	2,50 	0,72 	27,48 	7,50 	11,43 	8,55 	2,43 	-0,06 	2,49 	33,59 	3,62 	29,97 
2017	February	26,91 	2,61 	21,43 	2,24 	0,64 	24,31 	6,88 	9,82 	7,60 	2,03 	-0,05 	2,08 	28,94 	2,56 	26,38 
2017	March	26,68 	2,21 	21,45 	2,36 	0,67 	24,48 	7,55 	9,18 	7,75 	1,98 	-0,05 	2,03 	28,67 	2,16 	26,51 
2017	April	24,27 	1,95 	19,75 	1,99 	0,59 	22,32 	6,74 	8,39 	7,19 	2,15 	0,13 	2,03 	26,43 	2,08 	24,35 
2017	May	24,28 	2,02 	19,77 	1,91 	0,58 	22,26 	7,15 	7,51 	7,60 	2,18 	0,13 	2,05 	26,46 	2,15 	24,31 
2017	June	22,72 	1,76 	18,56 	1,83 	0,57 	20,96 	6,83 	6,93 	7,20 	2,05 	0,12 	1,93 	24,77 	1,88 	22,89 
2017	July	23,09 	1,68 	19,04 	1,81 	0,56 	21,41 	7,37 	6,53 	7,51 	2,09 	0,03 	2,06 	25,17 	1,71 	23,47 
2017	August	23,07 	1,71 	18,97 	1,81 	0,58 	21,36 	7,14 	6,91 	7,31 	2,09 	0,03 	2,06 	25,15 	1,74 	23,42 
2017	September	23,79 	1,87 	19,42 	1,90 	0,60 	21,91 	7,16 	7,50 	7,25 	2,20 	0,03 	2,16 	25,98 	1,90 	24,08 
2017	October	25,33 	2,08 	20,52 	2,11 	0,63 	23,25 	7,55 	8,27 	7,43 	1,82 	-0,11 	1,93 	27,15 	1,96 	25,18 
2017	November	27,94 	2,20 	22,76 	2,31 	0,67 	25,73 	7,62 	10,21 	7,90 	2,07 	-0,13 	2,20 	30,01 	2,08 	27,94 
2017	December	29,61 	2,43 	24,08 	2,44 	0,66 	27,18 	7,37 	11,30 	8,51 	2,13 	-0,13 	2,26 	31,74 	2,30 	29,44 
2018	January	30,14 	3,65 	23,29 	2,49 	0,72 	26,49 	7,48 	10,72 	8,29 	2,03 	0,12 	1,91 	32,17 	3,77 	28,40 
2018	February	27,74 	2,74 	22,13 	2,25 	0,63 	25,01 	6,73 	10,27 	8,01 	1,89 	0,12 	1,78 	29,63 	2,85 	26,78 
2018	March	29,54 	2,63 	23,86 	2,39 	0,66 	26,91 	7,52 	10,61 	8,78 	2,03 	0,12 	1,90 	31,57 	2,75 	28,82 
2018	April	25,36 	2,42 	20,47 	1,86 	0,62 	22,94 	6,98 	8,32 	7,65 	2,25 	-0,02 	2,27 	27,62 	2,40 	25,22 
2018	May	23,41 	1,85 	19,08 	1,92 	0,56 	21,56 	7,06 	7,21 	7,29 	2,06 	-0,02 	2,08 	25,47 	1,83 	23,64 
2018	June	22,11 	1,69 	18,09 	1,77 	0,56 	20,42 	6,94 	6,65 	6,83 	1,94 	-0,02 	1,96 	24,05 	1,67 	22,38 
2018	July	23,24 	1,69 	19,15 	1,82 	0,57 	21,55 	7,40 	6,57 	7,57 	1,97 	-0,11 	2,09 	25,21 	1,58 	23,63 
2018	August	22,96 	1,65 	18,94 	1,80 	0,57 	21,32 	7,17 	6,51 	7,64 	1,97 	-0,11 	2,09 	24,93 	1,53 	23,40 
